Besin Adı	Kategori	Porsiyon (g)	Kalori (kcal)	Karbonhidrat (g)	Protein (g)	Yağ (g)
Beyaz Peynir	Süt Ürünleri	40	106.4	0.8	5.6	8.8
Haşlanmış Yumurta	Yumurtalar	59	92.0	0.7	7.4	6.3
Dana Kıyma (yağlı)	Et Ürünleri	107	267.5	0.0	19.3	21.4
Yoğurt (tam yağlı)	Süt Ürünleri	199	133.3	9.9	6.0	7.0
Ceviz	Kuruyemişler	30	200.0	4.0	5.0	20.0
Havuç	Sebzeler	92	37.7	9.2	0.8	0.2
Beyaz Peynir	Süt Ürünleri	47	125.0	0.9	6.6	10.3
Elma	Meyveler	153	79.6	21.4	0.3	0.2
Yoğurt (tam yağlı)	Süt Ürünleri	210	140.7	10.5	6.3	7.3
Zeytinyağı	Yağlar	10	90.0	0.0	0.0	10.0
Dana Kıyma (yağlı)	Et Ürünleri	94	235.0	0.0	16.9	18.8
Patates (haşlanmış)	Sebzeler	157	136.1	31.4	3.1	0.2
Patates (haşlanmış)	Sebzeler	159	137.8	31.8	3.2	0.2
Havuç	Sebzeler	106	43.5	10.6	1.0	0.2
Fındık	Kuruyemişler	37	222.0	6.2	4.9	21.0
Muz	Meyveler	118	103.2	26.6	1.3	0.3
Salatalık	Sebzeler	107	16.1	3.9	0.7	0.1
Yoğurt (tam yağlı)	Süt Ürünleri	196	131.3	9.8	5.9	6.9
Mercimek (pişmiş)	Baklagiller	151	211.4	36.2	18.1	0.8
Bulgur (pişmiş)	Tahıllar	152	141.9	30.4	4.1	0.2
Yoğurt (tam yağlı)	Süt Ürünleri	210	140.7	10.5	6.3	7.3
Pirinç (pişmiş)	Tahıllar	147	191.1	41.4	4.2	0.4
Muz	Meyveler	120	105.0	27.0	1.3	0.3
Portakal	Meyveler	132	63.0	15.6	1.2	0.2
Dana Kıyma (yağlı)	Et Ürünleri	92	230.0	0.0	16.6	18.4
Fındık	Kuruyemişler	38	228.0	6.3	5.1	21.5
Dana Kıyma (yağlı)	Et Ürünleri	91	227.5	0.0	16.4	18.2
Süt (tam yağlı)	Süt Ürünleri	209	135.8	10.4	6.9	7.5
Salatalık	Sebzeler	109	16.4	3.9	0.8	0.1
Tavuk Göğsü	Et Ürünleri	92	151.8	0.0	28.5	3.3
Portakal	Meyveler	133	63.4	15.8	1.2	0.2
Kuzu Pirzola	Et Ürünleri	102	299.9	0.0	26.1	21.4
Zeytinyağı	Yağlar	6	54.0	0.0	0.0	6.0
Mercimek (pişmiş)	Baklagiller	153	214.2	36.7	18.4	0.8
Yoğurt (tam yağlı)	Süt Ürünleri	208	139.4	10.4	6.2	7.3
Domates	Sebzeler	160	28.8	6.2	1.4	0.3
Elma	Meyveler	156	81.1	21.8	0.3	0.2
Karpuz	Meyveler	199	59.7	14.9	1.2	0.2
Karpuz	Meyveler	201	60.3	15.1	1.2	0.2
Domates	Sebzeler	141	25.4	5.5	1.2	0.3
Yoğurt (tam yağlı)	Süt Ürünleri	192	128.6	9.6	5.8	6.7
Tam Buğday Ekmeği	Tahıllar	58	139.2	23.2	4.6	1.7
Patates (haşlanmış)	Sebzeler	140	121.3	28.0	2.8	0.2
Karpuz	Meyveler	193	57.9	14.5	1.2	0.2
Badem	Kuruyemişler	39	221.0	7.8	7.8	19.5
Pirinç (pişmiş)	Tahıllar	145	188.5	40.8	4.2	0.4
Yoğurt (tam yağlı)	Süt Ürünleri	201	134.7	10.1	6.0	7.0
Salatalık	Sebzeler	92	13.8	3.3	0.6	0.1
Mercimek (pişmiş)	Baklagiller	160	224.0	38.4	19.2	0.9
Mercimek (pişmiş)	Baklagiller	153	214.2	36.7	18.4	0.8
Muz	Meyveler	129	112.9	29.0	1.4	0.3
Elma	Meyveler	156	81.1	21.8	0.3	0.2
Mercimek (pişmiş)	Baklagiller	153	214.2	36.7	18.4	0.8
Badem	Kuruyemişler	38	215.3	7.6	7.6	19.0
Mercimek (pişmiş)	Baklagiller	150	210.0	36.0	18.0	0.8
Yoğurt (tam yağlı)	Süt Ürünleri	206	138.0	10.3	6.2	7.2
Portakal	Meyveler	138	65.8	16.3	1.3	0.2
Yoğurt (tam yağlı)	Süt Ürünleri	204	136.7	10.2	6.1	7.1
Tam Buğday Ekmeği	Tahıllar	57	136.8	22.8	4.6	1.7
Muz	Meyveler	130	113.8	29.2	1.4	0.3
Muz	Meyveler	117	102.4	26.3	1.3	0.3
Makarna (haşlanmış)	Tahıllar	145	212.7	38.7	6.8	1.3
Portakal	Meyveler	121	57.7	14.3	1.1	0.2
Fındık	Kuruyemişler	39	234.0	6.5	5.2	22.1
Beyaz Peynir	Süt Ürünleri	48	127.7	1.0	6.7	10.6
Muz	Meyveler	128	112.0	28.8	1.4	0.3
Domates	Sebzeler	144	25.9	5.6	1.2	0.3
Mercimek (pişmiş)	Baklagiller	152	212.8	36.5	18.2	0.8
Süt (tam yağlı)	Süt Ürünleri	193	125.5	9.7	6.4	6.9
Tam Buğday Ekmeği	Tahıllar	52	124.8	20.8	4.2	1.6
Beyaz Peynir	Süt Ürünleri	49	130.3	1.0	6.9	10.8
Fındık	Kuruyemişler	28	168.0	4.7	3.7	15.9
Süt (tam yağlı)	Süt Ürünleri	207	134.6	10.3	6.8	7.5
Pirinç (pişmiş)	Tahıllar	154	200.2	43.3	4.4	0.4
Elma	Meyveler	148	77.0	20.7	0.3	0.2
Zeytinyağı	Yağlar	7	63.0	0.0	0.0	7.0
Domates	Sebzeler	151	27.2	5.8	1.3	0.3
Kuzu Pirzola	Et Ürünleri	109	320.5	0.0	27.9	22.9
Tavuk Göğsü	Et Ürünleri	109	179.8	0.0	33.8	3.9
Yoğurt (tam yağlı)	Süt Ürünleri	207	138.7	10.3	6.2	7.2
Bulgur (pişmiş)	Tahıllar	140	130.7	28.0	3.7	0.2
Elma	Meyveler	147	76.4	20.6	0.3	0.2
Yoğurt (tam yağlı)	Süt Ürünleri	193	129.3	9.7	5.8	6.8
Havuç	Sebzeler	108	44.3	10.8	1.0	0.2
Fındık	Kuruyemişler	30	180.0	5.0	4.0	17.0
Ceviz	Kuruyemişler	36	240.0	4.8	6.0	24.0
Bulgur (pişmiş)	Tahıllar	145	135.3	29.0	3.9	0.2
Elma	Meyveler	160	83.2	22.4	0.3	0.2
Haşlanmış Yumurta	Yumurtalar	54	84.2	0.6	6.8	5.7
Dana Kıyma (yağlı)	Et Ürünleri	94	235.0	0.0	16.9	18.8
Yoğurt (tam yağlı)	Süt Ürünleri	209	140.0	10.4	6.3	7.3
Makarna (haşlanmış)	Tahıllar	151	221.5	40.3	7.0	1.3
Zeytinyağı	Yağlar	18	162.0	0.0	0.0	18.0
Makarna (haşlanmış)	Tahıllar	148	217.1	39.5	6.9	1.3
Patates (haşlanmış)	Sebzeler	153	132.6	30.6	3.1	0.2
Elma	Meyveler	151	78.5	21.1	0.3	0.2
Bulgur (pişmiş)	Tahıllar	156	145.6	31.2	4.2	0.2
Ceviz	Kuruyemişler	23	153.3	3.1	3.8	15.3
Patates (haşlanmış)	Sebzeler	150	130.0	30.0	3.0	0.2
Makarna (haşlanmış)	Tahıllar	147	215.6	39.2	6.9	1.3
Ceviz	Kuruyemişler	33	220.0	4.4	5.5	22.0
Patates (haşlanmış)	Sebzeler	159	137.8	31.8	3.2	0.2
Elma	Meyveler	157	81.6	22.0	0.3	0.2
Fındık	Kuruyemişler	28	168.0	4.7	3.7	15.9
Haşlanmış Yumurta	Yumurtalar	54	84.2	0.6	6.8	5.7
Ceviz	Kuruyemişler	27	180.0	3.6	4.5	18.0
Badem	Kuruyemişler	32	181.3	6.4	6.4	16.0
Zeytinyağı	Yağlar	0	0.0	0.0	0.0	0.0
Süt (tam yağlı)	Süt Ürünleri	195	126.8	9.8	6.4	7.0
Ceviz	Kuruyemişler	20	133.3	2.7	3.3	13.3
Domates	Sebzeler	153	27.5	5.9	1.3	0.3
Ceviz	Kuruyemişler	40	266.7	5.3	6.7	26.7
Nohut (pişmiş)	Baklagiller	158	252.8	36.9	12.6	4.2
Yoğurt (tam yağlı)	Süt Ürünleri	194	130.0	9.7	5.8	6.8
Salatalık	Sebzeler	107	16.1	3.9	0.7	0.1
Pirinç (pişmiş)	Tahıllar	157	204.1	44.2	4.5	0.4
Patates (haşlanmış)	Sebzeler	154	133.5	30.8	3.1	0.2
Badem	Kuruyemişler	22	124.7	4.4	4.4	11.0
Bulgur (pişmiş)	Tahıllar	152	141.9	30.4	4.1	0.2
Elma	Meyveler	150	78.0	21.0	0.3	0.2
Elma	Meyveler	153	79.6	21.4	0.3	0.2
Fındık	Kuruyemişler	29	174.0	4.8	3.9	16.4
Kuzu Pirzola	Et Ürünleri	99	291.1	0.0	25.3	20.8
Karpuz	Meyveler	193	57.9	14.5	1.2	0.2
Pirinç (pişmiş)	Tahıllar	159	206.7	44.7	4.6	0.4
Portakal	Meyveler	128	61.0	15.2	1.2	0.2
Kaşar Peyniri	Süt Ürünleri	100	404.0	1.3	25.0	33.0
Tulum Peyniri	Süt Ürünleri	100	380.0	2.0	22.0	32.0
Lor Peyniri	Süt Ürünleri	100	75.0	1.8	12.0	1.0
Çeçil Peyniri	Süt Ürünleri	100	280.0	2.0	20.0	22.0
Beyaz Ekmek	Tahıllar	50	135.0	25.0	3.5	1.0
Çavdar Ekmeği	Tahıllar	50	120.0	22.0	3.8	0.8
Kepek Ekmeği	Tahıllar	50	115.0	20.0	3.6	0.9
Ayçiçek Yağı	Yağlar	10	90.0	0.0	0.0	10.0
Tereyağı	Yağlar	10	75.0	0.0	0.1	8.3
Margarin	Yağlar	10	81.0	0.0	0.0	9.0
Sucuk	Et Ürünleri	50	215.0	1.0	9.0	20.0
Pastırma	Et Ürünleri	50	140.0	0.0	12.0	9.0
Hindi Füme	Et Ürünleri	50	100.0	1.0	10.0	6.0
Fasulye (kuru, pişmiş)	Baklagiller	150	240.0	35.0	13.0	0.6
Barbunya (pişmiş)	Baklagiller	150	210.0	30.0	11.0	0.5
Yeşil Mercimek (haşlanmış)	Baklagiller	150	210.0	34.0	18.0	0.7
Simit	Unlu Mamuller	100	420.0	70.0	10.0	14.0
Poğaça	Unlu Mamuller	100	410.0	45.0	8.0	20.0
Açma	Unlu Mamuller	100	430.0	46.0	7.0	22.0
Baklava	Tatlılar	100	450.0	50.0	5.0	25.0
Kadayıf	Tatlılar	100	380.0	45.0	6.0	18.0
Revani	Tatlılar	100	390.0	44.0	5.0	20.0
